,Title,Address,Latitude,Longitude,City,State,Country,Postal Code,Message,Categories,images,website,phone,email,Click Action,Redirect URL,,
,Amber Fort,"Amber Fort, Amer, Jaipur, Rajasthan, India",26.9854865,75.8513454,Jaipur,Rajasthan,India,302001,"Amer Fort  is located in Amer, a town with an area of 4 square kilometres (1.5 sq mi) located 11 kilometres (6.8 mi) from Jaipur, Rajasthan state, India.

",Forts & Palaces,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_435/v1480586347/amber-fort-full_vxjzsy.jpg"">",https://en.wikipedia.org/wiki/Amer_Fort,,,marker,,,yes
,Mehrangarh Fort,"Mehrangarh Fort (Jodhpur Fort), Jodhpur, Rajasthan, India",26.2978078,73.0184738,Jodhpur,Rajasthan,India,342006,"Mehrangarh Fort, located in Jodhpur, Rajasthan, is one of the largest forts in India. Built around 1460 by Rao Jodha, the fort is situated 410 feet above the city and is enclosed by imposing thick walls.",Forts & Palaces,"<img  src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_421/v1480586353/Jodhpur-Mehraganh-Fort_h5bzjk.jpg"">",https://en.wikipedia.org/wiki/Mehrangarh_Fort,,,marker,,yes,
,National Gallery of Art,"National Gallery of Modern Art, Justice SB Marg, Delhi High Court, New Delhi, Delhi, India",28.6094043,77.2341178,New Delhi,Delhi,India,110003,"The National Gallery of Modern Art is the premier art gallery under Ministry of Culture, Government of India .",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_455/v1480594998/national-gallery-of-modern-art_ec7ih0.jpg"">",https://en.wikipedia.org/wiki/National_Gallery_of_Modern_Art,,,marker,,,yes
,Hill Palace Museum,"Hill Palace Museum, Hill Palace Road, Irumpanam, Kerala, India",9.9526386,76.3639139,Tripunithura,Kerala,India,682301,"Hill Palace is the largest archaeological museum in Kerala, at Tripunithura, Kochi, near Karingachira area. It was the administrative office of Kochi Rajas.",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480595259/hill-palace-museum_knizgd.jpg"">","https://en.wikipedia.org/wiki/Hill_Palace,_Tripunithura",,,marker,,yes,
,Kirti Mandir,"Kirti Mandir, Kasturba Road, Bhatia Bazar Old, Porbandar, Gujarat, India",21.6413433,69.6009819,Porbandar,Gujarat,India,360001,"Kirti Mandir is the memorial temple built in memory of Mohandas Karamchand Gandhi and Kasturba Gandhi located in city of Porbandar, Gujarat, India.  ",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480595410/kirti-mandir_myj8i9.jpg"">","https://en.wikipedia.org/wiki/Kirti_Mandir,_Porbandar",,,marker,,yes,
,Nehru Science Centre,"Nehru Science Centre, Mumbai, Maharashtra, India",18.9906327,72.8185828,Mumbai,Maharashtra,India,400018,"Nehru Science Center, Mumbai, is India's largest interactive science center, located in Worli. The center is named after India's first Prime Minister, Jawaharlal Nehru.",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_501/v1480595646/nehru_science_center_t5hd0e.jpg"">",https://en.wikipedia.org/wiki/Nehru_Science_Centre,,,marker,,yes,
,Raman Science Centre,"Raman Science Centre & Planetarium, Nagpur, Maharashtra, India",21.1459739,79.0941196,Nagpur,Maharashtra,India,44018,"The Raman Science Centre and Raman Planetarium Complex at Nagpur is an interactive science center affiliated with Mumbai's Nehru Science Centre.  <a target=""_blank"" href=""https://en.wikipedia.org/wiki/Raman_Science_Centre"">Wikipedia</a>
",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_511/v1480595847/Raman_Science_Centre_and_Planetarium_y0cd6p.jpg"">",https://en.wikipedia.org/wiki/Raman_Science_Centre,,,marker,,,yes
,"Red Fort, Delhi","Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India",28.6561592,77.2410203,New Delhi,Delhi,India,110006,"The Red Fort was the residence of the Mughal emperor for nearly 200 years, until 1857. It is located in the centre of Delhi and houses a number of museums. Wikipedia",Forts & Palaces,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_405/v1480586364/Red-Fort-New-Delhi_rzlon9.jpg"">",https://en.wikipedia.org/wiki/Red_Fort,,,marker,,yes,
,Mysore Palace,"Mysore Palace, Sayyaji Rao Road, Mysuru, Karnataka, India",12.3051351,76.6551483,Mysuru,Karnataka,India,570001,"Mysore is commonly described as the City of Palaces. There are about seven palaces inclusive of this; however, Mysore Palace refers specifically to the one within the Old Fort. Built by the Maharaja Rajarshi His Highness Krishnarajendra Wadiyar IV, Mysore Palace is now one of the most famous tourist attractions in India",Forts & Palaces,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_471/v1480597313/somnath-temple_jspvvd.jpg"">",https://en.wikipedia.org/wiki/Mysore_Palace,"123456, 12345665987",,marker,,https://live-wpmapspro.pantheonsite.io/wp-content/uploads/2017/01/ocean_beach_dowbjw.jpg,yes
,"Agra Fort, Agra.","Agra Fort, Agra, Uttar Pradesh, India",27.1795328,78.021112,Agra,Uttar Pradesh,India,282003,"Agra Fort is the former imperial residence of the Mughal Dynasty located in Agra, India. It is also a UNESCO World Heritage site and is about 2.5 km from the Taj Mahal. ",Forts & Palaces,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_446/v1480586375/Agra-Fort_keejwk.jpg"">",https://en.wikipedia.org/wiki/Agra_Fort,,,marker,,,yes
,Junagadh Fort,"Junagarh Fort, Bikaner, Rajasthan, India",28.0219113,73.3187038,Bikaner,Rajasthan,India,334001,"Junagarh Fort is a fort in the city of Bikaner, Rajasthan, India. The fort was originally called Chintamani and was renamed Junagarh or ""Old Fort"" in the early 20th century.",Forts & Palaces,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480586341/b-junagarh-fort_mwmftn.jpg"">",,,,marker,,,yes
,Gulmarg,"Gulmarg Gondola, Baramulla",34.045423,74.384554,Baramulla,Jammu and Kashmir,India,193101,"Gulmarg is a town, a hill station, a popular skiing destination and a notified area committee in Baramula district in the Indian state of Jammu and Kashmir. The town is situated in the Pirpanjal range in the western Himalayas.",Hills Station,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480597855/Gulmarg_v5zsic.jpg"">",https://en.wikipedia.org/wiki/Gulmarg,,,marker,,yes,
,Pahalgam,"Pahalgam, Jammu and Kashmir, India",34.0166442453,75.3153229228,Pahalgam,,,,Pahalgam is a town and a notified area committee in Anantnag district of the Indian state of Jammu & Kashmir. It is a popular tourist destination and hill station.,Hills Station,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_477/v1480597942/Pahalgam_Valley_abetiy.jpg"">",https://en.wikipedia.org/wiki/Pahalgam,,,marker,,yes,
,Sonamarg,"Sonamarg, Jammu and Kashmir, India",34.3031616,75.293111,Sonamarg,,,,Sonamarg is a hill station in Ganderbal district in the Indian state of Jammu and Kashmir,Hills Station,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_450/v1480598177/Sonmarg-Nanga-Parbat_gvvcsa.jpg"">",https://en.wikipedia.org/wiki/Sonamarg,,,marker,,yes,
,Varkala Beach,"Varkala Beach, Varkala, Kerala, India",8.7327015,76.7060567,Varkala,Kerala,India,695141,"Varkala Beach, also known as Papanasham Beach is a beach in Varkala, Thiruvananthapuram, Kerala, India, along the Arabian Sea, part of the Indian Ocean. The word Papanasham means wash away sins.",Beaches,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480589166/varkala-beach-kerela-india_kkjsx2.jpg"">",https://en.wikipedia.org/wiki/Varkala_Beach,,,marker,,,yes
,Shimla,"Shimla, Himachal Pradesh, India",31.1048145,77.1734033,Shimla,Himachal Pradesh,India,,"Shimla is the capital of the northern Indian state of Himachal Pradesh, in the Himalayan foothills and known as Queen of Hills.",Hills Station,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_568/v1480598443/shimla_qrrpa0.jpg"">",https://en.wikipedia.org/wiki/Shimla,,,marker,,yes,
,Kasauli,"Kasauli, Himachal Pradesh, India",30.90129,76.9648753,Kasauli,Himachal Pradesh,India,,"Kasauli is a cantonment and town, located in Solan district in the Indian state of Himachal Pradesh.",Hills Station,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480598645/himachal-kasauli_oowgj3.jpg"">",https://en.wikipedia.org/wiki/Kasauli,,,marker,,yes,
,Lonavla,"Lonavla, Maharashtra, India",18.7546171,73.4062342,Lonavala,Maharashtra,India,412112,Lonavala is a hill station surrounded by green valleys in western India near Mumbai. The Karla Caves and the Bhaja Caves are ancient Buddhist shrines carved out of the rock. ,Hills Station,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_519/v1480598741/Lonavala_etqjvp.jpg"">",https://en.wikipedia.org/wiki/Lonavla,,,marker,,yes,
,Shillong,"Shillong, Meghalaya, India",25.5787726,91.8932535,Shillong,Meghalaya,India,,Shillong is a hill station in northeast India and capital of the state of Meghalaya. It’s known for Lady Hydari Park’s manicured gardens.,Hills Station,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_652/v1480598854/Shillong-Meghalaya_twexhw.jpg"">",https://en.wikipedia.org/wiki/Shillong,,,marker,,yes,
,"Gokarna Beach, Gokarna","Half Moon Beach, Gokarna, Karnataka, India",14.5180064,74.3314822,Gokarna,Karnataka,India,581326,"Gokarna is known for the beaches. The Gokarna main beach in town and Kudle beach are west facing. Om beach, Half moon Beach is the major tourist spot.",Beaches,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_490/v1480589782/half-moon-beach-Gokarna_f4ktqf.jpg"">","https://en.wikipedia.org/wiki/Gokarna,_Karnataka",,,marker,,,yes
,Palolam beach,"Palolem Beach, Goa, India",15.0099648,74.0232186,,Goa,India,,"Palolem Beach is situated in Canacona in southern Goa, India.This beach is one of the most famous beaches in Goa. This beach is famous for parties and night life.",Beaches,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_465/v1480590255/palolem-beach-goa_regbyn.jpg"" height=""300px"">",https://en.wikipedia.org/wiki/Palolem_Beach,,,marker,,,yes
,Akshardham,"Akshardham, Gandhinagar, Gujarat, India",23.2292215,72.6741109,Gandhinagar,Gujarat,India,382020,"Swaminarayan Akshardham in Gandhinagar, Gujarat is a large Hindu temple complex inspired by Pramukh Swami, the former spiritual head of BAPS Swaminarayan Sanstha. Located in the capital of Gujarat, the complex was built over 13 years and is a tribute to Swaminarayan and his life and teachings. ",Ancient Temples,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_616/v1480596565/akshardhaam-temple_qn1s0h.jpg"">",https://en.wikipedia.org/wiki/Akshardham_(Gandhinagar),,,marker,,"https://res.cloudinary.com/flippercode/image/upload/c_scale,w_616/v1480596565/akshardhaam-temple_qn1s0h.jpg",yes
,Vaishno Devi,"Vaishno Devi, Bhavan, Dhar Vaishno Devi",33.0308295,74.9490416,,Jammu and Kashmir,India,182301,"Vaishno Devi, also known as Mata Rani, Trikuta and Vaishnavi, is a manifestation of the Hindu Mother Goddess Mahalakshmi. The words ""maa"" and ""mata"" are commonly used in India for ""mother"", and thus are often used in connection with Vaishno Devi.",Ancient Temples,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480596734/Vaishno-Devi_j8xpte.jpg"">",https://en.wikipedia.org/wiki/Vaishno_Devi,,,marker,,yes,
,Bekal Beach,"Bekal Beach, Pallikkara II, Kerala, India",12.3998596,75.0273447,,Kerala,India,,"Beaches in the Indian state of Kerala are spread along the 550-km Arabian Sea coastline. In the northern parts of Kerala, in places such as Bekal, Thalassery and Kannur, the headlands rise above the shore from the fringe of the beaches.",Beaches,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_448/v1480590627/bekal-beach-kerela_p0d1oq.jpg"" height=""300px"">",https://en.wikipedia.org/wiki/Bekal,,,marker,,,yes
,Karni Mata Temple,"Karni Mata Temple, Deshnoke, Rajasthan, India",27.7909563,73.3409232,Deshnoke,Rajasthan,India,334801,"Karni Mata Temple is a Hindu temple dedicated to Karni Mata at Deshnoke, 30 km from Bikaner, in Rajasthan, India. It is also known as the Temple of Rats.",Ancient Temples,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_507/v1480681209/deshnok-temple_r5xmrn.jpg"">",https://en.wikipedia.org/wiki/Karni_Mata_Temple,,,marker,,yes,
,Somnath Mandir,"Somnath, Gujarat, India",20.9060022,70.3843721,Somnath,Gujarat,India,380024,"The Somnath temple located in Prabhas Patan near Veraval in Saurashtra on the western coast of Gujarat, India, is the first among the twelve Jyotirlinga shrines of Shiva. It is an important pilgrimage and tourist spot.",Ancient Temples,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_471/v1480597313/somnath-temple_jspvvd.jpg"">",https://en.wikipedia.org/wiki/Somnath,,,marker,,yes,
,Rishikesh,"Rishikesh, Uttarakhand, India",30.0869281,78.2676116,Rishikesh,Uttarakhand,India,,"Rishikesh is a city in India’s northern state of Uttarakhand, in the Himalayan foothills beside the Ganges River. The river is considered holy, and the city is renowned as a center for studying yoga and meditation.",Ancient Temples,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_433/v1480597467/rishikesh_x75p9z.jpg"">",https://en.wikipedia.org/wiki/Rishikesh,,,marker,,yes,
,Jagannath Temple,"Jagannath Temple, Puri, Odisha, India",19.8047181,85.8179802,Puri,Odisha,India,752001,"The Jagannath Temple of Puri is a sacred Vaishnava temple dedicated to Lord Jagannath and located on the eastern coast of India, at Puri in the state of Odisha.",Ancient Temples,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1480597587/Temple-Jagannath_rxr3jl.jpg"">","https://en.wikipedia.org/wiki/Jagannath_Temple,_Puri",,,marker,,yes,
,Radha Nagar Beach,"Radhanagar Beach, Andaman and Nicobar Islands, India",11.9844552,92.9508454,,Andaman and Nicobar Islands,India,,"Radhanagar Beach (Havelock Island) is the largest of the islands that comprise Ritchie's Archipelago, a chain of islands to the east of Great Andaman in the Andaman Islands.",Beaches,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_496/v1480591788/radha-nagar-beach-andaman-nicobar_rndda6.jpg"">",https://en.wikipedia.org/wiki/Havelock_Island,,,marker,,,yes
,"Taj Mahal, Agra","Taj Mahal, Dharmapuri, Tajganj, Agra, Uttar Pradesh, India",27.175009,78.0420906,Agra,Uttar Pradesh,India,282001,The Taj Mahal is an ivory-white marble mausoleum on the south bank of the Yamuna river in the Indian city of Agra. ,Monuments,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_454/v1480592632/taj-mahal-agra-india_boqj3f.jpg"">",https://en.wikipedia.org/wiki/Taj_Mahal,,,marker,,,yes
,Qutub Minar,"Qutub Minar, Seth Sarai, New Delhi, Delhi, India",28.526583,77.185893,New Delhi,Delhi,,110030,"Qutb Minar, at 73 metres, is the tallest brick minaret in the world and second highest minar in India after Fateh Burj at Punjab, India.",Monuments,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_515/v1480592924/Qutub-Minar-Delhi_g9lpqp.jpg"">",https://en.wikipedia.org/wiki/Qutb_Minar,,,marker,,yes,
,Gate way of India,"Gateway of India, Apollo Bandar, Mumbai, Maharashtra, India",18.9219357,72.8345733,Mumbai,Maharashtra,India,400001,The Gateway of India is a monument built during the 20th century in Mumbai City of Maharashtra state in Western India.,Monuments,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_571/v1480593861/gate-way-of-india_fhqbad.jpg"">",https://en.wikipedia.org/wiki/Gateway_of_India,,,marker,,,yes
,"India Gate, New Delhi","India Gate, New Delhi, Delhi, India",28.6109401,77.234482,New Delhi,Delhi,India,,"The India Gate, is a war memorial located astride the Rajpath, on the eastern edge of the ‘ceremonial axis’ of New Delhi, India, formerly called Kingsway.",Monuments,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_483/v1480594333/india-gate-delhi_tqijmq.jpg"">",https://en.wikipedia.org/wiki/India_Gate,,,marker,,yes,
,Konark Sun Temple,"Konark Sun Temple, Konark, Odisha, India",19.8875953,86.0945364,Konark,Odisha,India,752111,"Konark Sun Temple is a 13th-century CE Sun Temple at Konark in Odisha, India. It is believed that the temple was built by king Narasimhadeva I of Eastern Ganga Dynasty in 1255 CE",Ancient Temples,"<img src=""https://res.cloudinary.com/flippercode/image/upload/c_scale,w_447/v1480768397/Konark_sun_temple_d6yr54.jpg"">",https://en.wikipedia.org/wiki/Konark_Sun_Temple,,,marker,,yes,
,New York,"Times Square, Manhattan, NY, United States",40.758895,-73.985131,New York,New York,United States,10036,,Monuments,,,,,marker,,yes,
,New York Transit Museum,"New York Transit Museum, Schermerhorn Street, Brooklyn, NY, United States",40.6905384,-73.989939,,New York,United States,11201,"The New York Transit Museum is a museum that displays historical artifacts of the New York City Subway, bus, commuter rail, and bridge and tunnel systems under the administration of the Metropolitan Transportation Authority.",Museums,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/New_York_Transit_Museum_Cou.jpg"">",https://en.wikipedia.org/wiki/New_York_Transit_Museum,,,marker,,,yes
,Forest Hills,"71st Avenue, Forest Hills, NY, United States",40.7165087,-73.8470944,,New York,United States,11375,"Forest Hills is an upper middle class neighborhood in the borough of Queens in New York City. Originally, the area was referred to as ""Whitepot"".",Hills Station,"<img src=""https://wpmapspro.com//wp-content/uploads/2017/01/ForestHills-StationSq.jpg"">","https://en.wikipedia.org/wiki/Forest_Hills,_Queens",,,marker,,,yes
,Ocean Beach Park,"Ocean Beach Park, Long Beach, NY, United States",40.5835131,-73.6637776,Long Beach,New York,United States,11561,"1/2-mile beach boardwalk features an Olympic-size pool, miniature golf course, playgrounds & a cafe.",Beaches,"<img src=""https://wpmapspro.com/wp-content/uploads/2017/01/ocean_beach_dowbjw.jpg"">","https://en.wikipedia.org/wiki/Ocean_Beach,_San_Diego",,,marker,,,yes
,Solomon R. Guggenheim Museum,"Solomon R. Guggenheim Museum, 5th Avenue, New York, NY, United States",40.7829796,-73.9589706,New York,New York,United States,10128,"The Solomon R. Guggenheim Museum, often referred to as The Guggenheim, is an art museum located at 1071 Fifth Avenue on the corner of East 89th Street in the Upper East Side neighborhood of Manhattan, New York City. ",Museums,"<img src=""https://res.cloudinary.com/flippercode/image/upload/v1483336224/Guggenheim_Museum_wg2elo.jpg"">",https://en.wikipedia.org/wiki/Solomon_R._Guggenheim_Museum,,,marker,,yes,
